"sku_id","record_date","daily_units_sold","avg_daily_demand_30d","observations_30d"
"SKU_1","2024-01-01","81","81.00","1"
"SKU_1","2024-01-02","79","80.00","2"
"SKU_1","2024-01-03","126","95.33","3"
"SKU_1","2024-01-04","105","97.75","4"
"SKU_1","2024-01-05","102","98.60","5"
"SKU_1","2024-01-06","112","100.83","6"
"SKU_1","2024-01-07","109","102.00","7"
"SKU_1","2024-01-08","101","101.88","8"
"SKU_1","2024-01-09","122","104.11","9"
"SKU_1","2024-01-10","132","106.90","10"
"SKU_1","2024-01-11","115","107.64","11"
"SKU_1","2024-01-12","105","107.42","12"
"SKU_1","2024-01-13","125","108.77","13"
"SKU_1","2024-01-14","113","109.07","14"
"SKU_1","2024-01-15","97","108.27","15"
"SKU_1","2024-01-16","131","109.69","16"
"SKU_1","2024-01-17","121","110.35","17"
"SKU_1","2024-01-18","118","110.78","18"
"SKU_1","2024-01-19","130","111.79","19"
"SKU_1","2024-01-20","115","111.95","20"
"SKU_1","2024-01-21","130","112.81","21"
"SKU_1","2024-01-22","110","112.68","22"
"SKU_1","2024-01-23","131","113.48","23"
"SKU_1","2024-01-24","118","113.67","24"
"SKU_1","2024-01-25","104","113.28","25"
"SKU_1","2024-01-26","129","113.88","26"
"SKU_1","2024-01-27","116","113.96","27"
"SKU_1","2024-01-28","115","114.00","28"
"SKU_1","2024-01-29","125","114.38","29"
"SKU_1","2024-01-30","123","114.67","30"
"SKU_1","2024-01-31","109","115.60","30"
"SKU_1","2024-02-01","141","117.67","30"
"SKU_1","2024-02-02","121","117.50","30"
"SKU_1","2024-02-03","114","117.80","30"
"SKU_1","2024-02-04","118","118.33","30"
"SKU_1","2024-02-05","131","118.97","30"
"SKU_1","2024-02-06","120","119.33","30"
"SKU_1","2024-02-07","134","120.43","30"
"SKU_1","2024-02-08","133","120.80","30"
"SKU_1","2024-02-09","120","120.40","30"
"SKU_1","2024-02-10","124","120.70","30"
"SKU_1","2024-02-11","132","121.60","30"
"SKU_1","2024-02-12","142","122.17","30"
"SKU_1","2024-02-13","167","123.97","30"
"SKU_1","2024-02-14","130","125.07","30"
"SKU_1","2024-02-15","140","125.37","30"
"SKU_1","2024-02-16","131","125.70","30"
"SKU_1","2024-02-17","127","126.00","30"
"SKU_1","2024-02-18","126","125.87","30"
"SKU_1","2024-02-19","136","126.57","30"
"SKU_1","2024-02-20","127","126.47","30"
"SKU_1","2024-02-21","132","127.20","30"
"SKU_1","2024-02-22","152","127.90","30"
"SKU_1","2024-02-23","150","128.97","30"
"SKU_1","2024-02-24","136","130.03","30"
"SKU_1","2024-02-25","139","130.37","30"
"SKU_1","2024-02-26","136","131.03","30"
"SKU_1","2024-02-27","136","131.73","30"
"SKU_1","2024-02-28","136","132.10","30"
"SKU_1","2024-02-29","156","133.20","30"
"SKU_1","2024-03-01","138","134.17","30"
"SKU_1","2024-03-02","143","134.23","30"
"SKU_1","2024-03-03","143","134.97","30"
"SKU_1","2024-03-04","135","135.67","30"
"SKU_1","2024-03-05","148","136.67","30"
"SKU_1","2024-03-06","147","137.20","30"
"SKU_1","2024-03-07","152","138.27","30"
"SKU_1","2024-03-08","162","139.20","30"
"SKU_1","2024-03-09","158","140.03","30"
"SKU_1","2024-03-10","172","141.77","30"
"SKU_1","2024-03-11","140","142.30","30"
"SKU_1","2024-03-12","137","142.47","30"
"SKU_1","2024-03-13","150","142.73","30"
"SKU_1","2024-03-14","138","141.77","30"
"SKU_1","2024-03-15","146","142.30","30"
"SKU_1","2024-03-16","149","142.60","30"
"SKU_1","2024-03-17","142","142.97","30"
"SKU_1","2024-03-18","138","143.33","30"
"SKU_1","2024-03-19","147","144.03","30"
"SKU_1","2024-03-20","131","143.87","30"
"SKU_1","2024-03-21","143","144.40","30"
"SKU_1","2024-03-22","140","144.67","30"
"SKU_1","2024-03-23","147","144.50","30"
"SKU_1","2024-03-24","177","145.40","30"
"SKU_1","2024-03-25","156","146.07","30"
"SKU_1","2024-03-26","163","146.87","30"
"SKU_1","2024-03-27","145","147.17","30"
"SKU_1","2024-03-28","155","147.80","30"
"SKU_1","2024-03-29","156","148.47","30"
"SKU_1","2024-03-30","177","149.17","30"
"SKU_1","2024-03-31","143","149.33","30"
"SKU_1","2024-04-01","174","150.37","30"
"SKU_1","2024-04-02","156","150.80","30"
"SKU_1","2024-04-03","146","151.17","30"
"SKU_1","2024-04-04","157","151.47","30"
"SKU_1","2024-04-05","159","151.87","30"
"SKU_1","2024-04-06","139","151.43","30"
"SKU_1","2024-04-07","167","151.60","30"
"SKU_1","2024-04-08","182","152.40","30"
"SKU_1","2024-04-09","160","152.00","30"
"SKU_1","2024-04-10","154","152.47","30"
"SKU_1","2024-04-11","183","154.00","30"
"SKU_1","2024-04-12","154","154.13","30"
"SKU_1","2024-04-13","135","154.03","30"
"SKU_1","2024-04-14","144","153.97","30"
"SKU_1","2024-04-15","139","153.63","30"
"SKU_1","2024-04-16","143","153.67","30"
"SKU_1","2024-04-17","133","153.50","30"
"SKU_1","2024-04-18","150","153.60","30"
"SKU_1","2024-04-19","143","154.00","30"
"SKU_1","2024-04-20","138","153.83","30"
"SKU_1","2024-04-21","152","154.23","30"
"SKU_1","2024-04-22","142","154.07","30"
"SKU_1","2024-04-23","149","153.13","30"
"SKU_1","2024-04-24","160","153.27","30"
"SKU_1","2024-04-25","157","153.07","30"
"SKU_1","2024-04-26","155","153.40","30"
"SKU_1","2024-04-27","166","153.77","30"
"SKU_1","2024-04-28","138","153.17","30"
"SKU_1","2024-04-29","148","152.20","30"
"SKU_1","2024-04-30","156","152.63","30"
"SKU_1","2024-05-01","157","152.07","30"
"SKU_1","2024-05-02","161","152.23","30"
"SKU_1","2024-05-03","151","152.40","30"
"SKU_1","2024-05-04","149","152.13","30"
"SKU_1","2024-05-05","148","151.77","30"
"SKU_1","2024-05-06","148","152.07","30"
"SKU_1","2024-05-07","139","151.13","30"
"SKU_1","2024-05-08","138","149.67","30"
"SKU_1","2024-05-09","127","148.57","30"
"SKU_1","2024-05-10","155","148.60","30"
"SKU_1","2024-05-11","148","147.43","30"
"SKU_1","2024-05-12","135","146.80","30"
"SKU_1","2024-05-13","121","146.33","30"
"SKU_1","2024-05-14","140","146.20","30"
"SKU_1","2024-05-15","119","145.53","30"
"SKU_1","2024-05-16","131","145.13","30"
"SKU_1","2024-05-17","133","145.13","30"
"SKU_1","2024-05-18","119","144.10","30"
"SKU_1","2024-05-19","119","143.30","30"
"SKU_1","2024-05-20","135","143.20","30"
"SKU_1","2024-05-21","113","141.90","30"
"SKU_1","2024-05-22","131","141.53","30"
"SKU_1","2024-05-23","130","140.90","30"
"SKU_1","2024-05-24","130","139.90","30"
"SKU_1","2024-05-25","123","138.77","30"
"SKU_1","2024-05-26","155","138.77","30"
"SKU_1","2024-05-27","146","138.10","30"
"SKU_1","2024-05-28","143","138.27","30"
"SKU_1","2024-05-29","137","137.90","30"
"SKU_1","2024-05-30","110","136.37","30"
"SKU_1","2024-05-31","140","135.80","30"
"SKU_1","2024-06-01","121","134.47","30"
"SKU_1","2024-06-02","117","133.33","30"
"SKU_1","2024-06-03","149","133.33","30"
"SKU_1","2024-06-04","123","132.50","30"
"SKU_1","2024-06-05","109","131.20","30"
"SKU_1","2024-06-06","144","131.37","30"
"SKU_1","2024-06-07","114","130.57","30"
"SKU_1","2024-06-08","126","130.53","30"
"SKU_1","2024-06-09","125","129.53","30"
"SKU_1","2024-06-10","115","128.43","30"
"SKU_1","2024-06-11","106","127.47","30"
"SKU_1","2024-06-12","116","127.30","30"
"SKU_1","2024-06-13","135","127.13","30"
"SKU_1","2024-06-14","145","128.00","30"
"SKU_1","2024-06-15","105","127.13","30"
"SKU_1","2024-06-16","106","126.23","30"
"SKU_1","2024-06-17","101","125.63","30"
"SKU_1","2024-06-18","113","125.43","30"
"SKU_1","2024-06-19","107","124.50","30"
"SKU_1","2024-06-20","114","124.53","30"
"SKU_1","2024-06-21","111","123.87","30"
"SKU_1","2024-06-22","118","123.47","30"
"SKU_1","2024-06-23","109","122.77","30"
"SKU_1","2024-06-24","118","122.60","30"
"SKU_1","2024-06-25","97","120.67","30"
"SKU_1","2024-06-26","100","119.13","30"
"SKU_1","2024-06-27","101","117.73","30"
"SKU_1","2024-06-28","112","116.90","30"
"SKU_1","2024-06-29","120","117.23","30"
"SKU_1","2024-06-30","82","115.30","30"
"SKU_1","2024-07-01","124","115.40","30"
"SKU_1","2024-07-02","78","114.10","30"
"SKU_1","2024-07-03","98","112.40","30"
"SKU_1","2024-07-04","106","111.83","30"
"SKU_1","2024-07-05","111","111.90","30"
"SKU_1","2024-07-06","84","109.90","30"
"SKU_1","2024-07-07","89","109.07","30"
"SKU_1","2024-07-08","110","108.53","30"
"SKU_1","2024-07-09","74","106.83","30"
"SKU_1","2024-07-10","80","105.67","30"
"SKU_1","2024-07-11","83","104.90","30"
"SKU_1","2024-07-12","86","103.90","30"
"SKU_1","2024-07-13","105","102.90","30"
"SKU_1","2024-07-14","95","101.23","30"
"SKU_1","2024-07-15","103","101.17","30"
"SKU_1","2024-07-16","78","100.23","30"
"SKU_1","2024-07-17","95","100.03","30"
"SKU_1","2024-07-18","96","99.47","30"
"SKU_1","2024-07-19","108","99.50","30"
"SKU_1","2024-07-20","97","98.93","30"
"SKU_1","2024-07-21","81","97.93","30"
"SKU_1","2024-07-22","72","96.40","30"
"SKU_1","2024-07-23","113","96.53","30"
"SKU_1","2024-07-24","81","95.30","30"
"SKU_1","2024-07-25","89","95.03","30"
"SKU_1","2024-07-26","74","94.17","30"
"SKU_1","2024-07-27","81","93.50","30"
"SKU_1","2024-07-28","89","92.73","30"
"SKU_1","2024-07-29","75","91.23","30"
"SKU_1","2024-07-30","98","91.77","30"
"SKU_1","2024-07-31","60","89.63","30"
"SKU_1","2024-08-01","65","89.20","30"
"SKU_1","2024-08-02","67","88.17","30"
