sku_id,avg_daily_units_sold,daily_demand_stddev,avg_supplier_delivery_delays_in_days,Dynamic_safety_stock
SKU_36,20.05,9.16,11.40,51.02
SKU_38,20.13,9.21,11.20,50.84
SKU_41,20.02,9.08,11.20,50.16
SKU_3,20.16,9.2,10.60,49.44
SKU_13,20.23,9.22,10.20,48.61
SKU_9,20.19,9.02,10.60,48.47
SKU_4,20.17,9.15,10.20,48.2
SKU_43,20.02,9.03,10.40,48.03
SKU_2,19.99,9.11,10.20,47.99
SKU_10,20.04,9.07,10.20,47.77
SKU_29,20.13,9.4,9.40,47.56
SKU_15,19.94,9.05,9.40,45.77
SKU_21,19.95,9.23,8.80,45.16
SKU_14,20.05,9.16,8.80,44.82
SKU_48,20.05,9.12,8.80,44.66
SKU_50,20.06,8.98,9.00,44.44
SKU_6,19.84,8.78,9.40,44.4
SKU_46,19.87,9.2,8.40,44.01
SKU_42,20.08,9.09,8.40,43.46
SKU_18,20.40,9.31,8.00,43.43
SKU_47,20.23,8.92,8.60,43.18
SKU_49,19.99,8.99,8.40,42.98
SKU_8,20.11,9.27,7.80,42.71
SKU_26,19.94,9.23,7.80,42.53
SKU_23,20.11,8.87,8.40,42.43
SKU_1,20.29,8.95,8.20,42.27
SKU_5,19.98,8.95,8.20,42.27
SKU_17,19.97,9.03,7.80,41.6
SKU_44,20.10,9.14,7.60,41.58
SKU_33,20.28,8.98,7.80,41.36
SKU_28,19.99,9.2,7.40,41.29
SKU_16,20.00,9.14,7.40,41.02
SKU_37,20.13,9.17,7.20,40.61
SKU_40,19.97,9.06,7.20,40.11
SKU_12,20.16,9.17,7.00,40.03
SKU_24,19.93,8.89,7.40,39.88
SKU_39,20.05,8.86,7.40,39.77
SKU_35,19.97,8.93,6.80,38.44
SKU_22,20.08,9.2,6.00,37.19
SKU_19,19.87,8.9,6.20,36.56
SKU_25,20.05,8.89,6.20,36.53
SKU_45,19.92,8.85,6.00,35.75
SKU_34,20.02,9.04,5.60,35.31
SKU_31,20.13,8.85,5.80,35.16
SKU_30,20.03,8.88,5.60,34.68
SKU_27,19.96,9.17,5.00,33.84
SKU_11,19.92,8.96,5.20,33.7
SKU_20,20.13,9.13,5.00,33.68
SKU_32,20.08,9.05,5.00,33.38
SKU_7,19.98,9.26,4.60,32.78
