sku_id,current_avg_inventory,current_static_rop,optimized_dynamic_rop,rop_reduction_delta
SKU_7,495,325,125,200
SKU_11,500,318,138,180
SKU_27,491,310,134,176
SKU_20,470,305,135,170
SKU_16,521,350,190,160
SKU_32,466,293,134,159
SKU_19,478,306,160,146
SKU_39,500,332,189,143
SKU_25,468,296,161,135
SKU_1,515,343,209,134
SKU_22,457,291,158,133
SKU_31,465,284,152,132
SKU_17,491,328,198,130
SKU_34,446,272,148,124
SKU_30,438,268,147,121
SKU_47,515,337,218,119
SKU_28,481,307,190,117
SKU_45,441,271,156,115
SKU_12,466,296,182,114
SKU_26,485,311,199,112
SKU_40,473,295,184,111
SKU_37,465,296,186,110
SKU_24,468,295,188,107
SKU_33,482,306,200,106
SKU_42,485,316,213,103
SKU_8,471,300,200,100
SKU_21,484,313,221,92
SKU_35,437,266,175,91
SKU_46,466,302,211,91
SKU_48,484,313,222,91
SKU_18,464,295,207,88
SKU_5,457,293,207,86
SKU_23,460,293,212,81
SKU_41,524,348,275,73
SKU_43,498,326,257,69
SKU_49,448,279,211,68
SKU_14,446,284,222,62
SKU_15,467,296,234,62
SKU_9,487,323,263,60
SKU_44,431,255,195,60
SKU_6,456,287,231,56
SKU_13,486,307,255,52
SKU_4,471,298,254,44
SKU_2,471,296,252,44
SKU_29,453,278,237,41
SKU_10,459,293,253,40
SKU_38,477,303,277,26
SKU_50,409,239,225,14
SKU_36,466,294,280,14
SKU_3,444,273,264,9
